Name,Kategorie,Breitengrad,Laengengrad
ALDI Suisse,Supermarkt,47.4231699,8.4991627
Migros,Supermarkt,47.3580599,8.5173007
Spar,Supermarkt,47.4115497,8.5280301
Migros,Supermarkt,47.4204198,8.5082174
Denner,Supermarkt,47.4199085,8.5080891
Migros,Supermarkt,47.4104509,8.5427206
Coop,Supermarkt,47.3847889,8.527125
Coop,Supermarkt,47.3609191,8.5068265
Migros,Supermarkt,47.3937084,8.5292465
Denner,Supermarkt,47.3988666,8.5326286
Denner,Supermarkt,47.3759665,8.4839506
Aldi,Supermarkt,47.4137515,8.5390963
Lidl,Supermarkt,47.3617716,8.5149344
Coop,Supermarkt,47.4034212,8.5893605
Coop,Supermarkt,47.3702753,8.4920191
VOI,Supermarkt,47.3704893,8.4927577
Migros,Supermarkt,47.4037955,8.5730423
Denner,Supermarkt,47.403979,8.5727162
Coop,Supermarkt,47.3732882,8.5305624
Coop,Supermarkt,47.3758541,8.487038
VOI,Supermarkt,47.3347288,8.529589
Coop,Supermarkt,47.4134214,8.5405759
Lidl,Supermarkt,47.4103223,8.5456832
Coop,Supermarkt,47.407567,8.5491079
Coop,Supermarkt,47.3602011,8.5947159
Migros,Supermarkt,47.3793846,8.5594679
Spar,Supermarkt,47.4028716,8.5465484
Coop,Supermarkt,47.4256283,8.4969763
Aldi,Supermarkt,47.4193147,8.5568084
Denner,Supermarkt,47.400013,8.5878153
Denner,Supermarkt,47.3444645,8.5307182
Coop,Supermarkt,47.3678218,8.5608053
Migros,Supermarkt,47.3592095,8.5856168
Denner,Supermarkt,47.3584946,8.5863177
Lidl,Supermarkt,47.4077499,8.5852962
Spar,Supermarkt,47.370276,8.5569289
Denner,Supermarkt,47.3692207,8.5029311
Migros,Supermarkt,47.3702412,8.5084445
Denner,Supermarkt,47.370239,8.508715
Coop,Supermarkt,47.3702894,8.5371359
Migros,Supermarkt,47.4038519,8.4974554
Coop,Supermarkt,47.3707927,8.5158561
Coop,Supermarkt,47.3737493,8.5023375
Coop,Supermarkt,47.3875596,8.4854662
Coop,Supermarkt,47.3874101,8.4889206
Coop,Supermarkt,47.3777313,8.5347195
Migros,Supermarkt,47.3882833,8.4875671
Coop,Supermarkt,47.4111941,8.5626146
Coop,Supermarkt,47.3921264,8.4898151
Denner,Supermarkt,47.3919775,8.4848889
Coop,Supermarkt,47.3261834,8.514451
Aldi,Supermarkt,47.405948,8.5918795
Coop,Supermarkt,47.3862616,8.4996784
VOI,Supermarkt,47.329774,8.5152768
Denner,Supermarkt,47.3581751,8.5179737
Coop,Supermarkt,47.4249628,8.5377913
Witiker,Supermarkt,47.3588218,8.5857036
Denner,Supermarkt,47.3888231,8.5251005
Migros,Supermarkt,47.3901181,8.5086042
Coop,Supermarkt,47.3911135,8.5081865
Migros,Supermarkt,47.3359942,8.5190003
Lidl,Supermarkt,47.4103235,8.5428255
LeShuk,Supermarkt,47.3585964,8.5271404
Denner,Supermarkt,47.3888549,8.4836676
Aldi,Supermarkt,47.4089295,8.5437302
Denner,Supermarkt,47.4073192,8.5485107
Lidl,Supermarkt,47.3754253,8.5193941
Spar,Supermarkt,47.3800378,8.4896864
Coop,Supermarkt,47.3471862,8.5330722
Coop,Supermarkt,47.3838209,8.5480794
Aldi,Supermarkt,47.3809181,8.5331122
Migros,Supermarkt,47.3782902,8.5404169
Coop,Supermarkt,47.3778252,8.538369
Migros,Supermarkt,47.3770315,8.5394102
Coop,Supermarkt,47.3806921,8.5348898
Migros,Supermarkt,47.3752033,8.485718
M-Outlet,Supermarkt,47.3900919,8.5087068
Migros,Supermarkt,47.3859928,8.5486931
VOI,Supermarkt,47.396145,8.4865224
mio by migrolino,Supermarkt,47.3782388,8.5414867
Denner,Supermarkt,47.4105537,8.5434973
Denner,Supermarkt,47.3887075,8.4870669
Denner,Supermarkt,47.3859997,8.4995797
Denner,Supermarkt,47.3857631,8.5318296
Bahar Shop,Supermarkt,47.3604083,8.5633792
Aldi,Supermarkt,47.3838311,8.4978671
Coop,Supermarkt,47.363156,8.549921
Coop,Supermarkt,47.3574739,8.5230643
Coop,Supermarkt,47.3898336,8.471856
Coop City Oerlikon Food,Supermarkt,47.4104766,8.5467405
Coop,Supermarkt,47.3533217,8.558975
der bioladen,Supermarkt,47.3893787,8.486568
Coop,Supermarkt,47.4058783,8.4813811
Megagross,Supermarkt,47.4058474,8.5921993
Coop,Supermarkt,47.3677811,8.5358482
Quartierdepot,Supermarkt,47.3969958,8.532694
Coop,Supermarkt,47.4128725,8.5470117
Coop,Supermarkt,47.393543,8.4839444
Migros Daily,Supermarkt,47.3798035,8.5369016
Migros,Supermarkt,47.3783949,8.5359062
VOI,Supermarkt,47.3953281,8.5183575
Aldi,Supermarkt,47.3585316,8.5857175
VOI,Supermarkt,47.3782978,8.4939806
Denner Express,Supermarkt,47.3788745,8.5594892
Letzi Markt,Supermarkt,47.3807898,8.5031983
Lidl,Supermarkt,47.3924034,8.5156978
Denner,Supermarkt,47.3765114,8.4973375
Denner,Supermarkt,47.3857952,8.4924667
Lidl,Supermarkt,47.4222889,8.4993168
Coop,Supermarkt,47.3874546,8.5173402
Denner,Supermarkt,47.4142481,8.5423108
Sala-Thai,Supermarkt,47.3788027,8.5280298
Vitus,Supermarkt,47.3714338,8.5436433
Spyri Corner Shop,Supermarkt,47.3823876,8.5523391
Coop,Supermarkt,47.3699617,8.5091748
Spar,Supermarkt,47.3383269,8.520261
egemarket,Supermarkt,47.3801151,8.5244472
ALDI Suisse,Supermarkt,47.3453556,8.5347971
Coop,Supermarkt,47.4019397,8.5345212
Aldi,Supermarkt,47.3696054,8.5092088
Migros,Supermarkt,47.4149752,8.5538033
Lidl,Supermarkt,47.3844623,8.500637
Streuli,Gruenflaeche,47.3632472,8.565104
Unbekannt,Gruenflaeche,47.3631129,8.5645897
Kasernenwiese,Gruenflaeche,47.3767158,8.5317966
Mentona-Moser-Anlage,Gruenflaeche,47.3745754,8.5283127
Platzpromenade,Gruenflaeche,47.3808466,8.5400158
Bäckeranlage,Gruenflaeche,47.3778163,8.5236128
Rieterpark,Gruenflaeche,47.357878,8.5305136
Unbekannt,Gruenflaeche,47.3606397,8.5313439
Belvoirpark,Gruenflaeche,47.356953,8.5334758
MFO-Park,Gruenflaeche,47.4121112,8.5402318
Pestalozzianlage,Gruenflaeche,47.3755915,8.5387409
Louis-Häfliger-Park,Gruenflaeche,47.4125813,8.5336226
Blatterwiese,Gruenflaeche,47.3545453,8.5511413
Unbekannt,Gruenflaeche,47.3872403,8.5410261
Stolzewiese,Gruenflaeche,47.3864003,8.546772
Beckenhof,Gruenflaeche,47.3849003,8.5408567
Unbekannt,Gruenflaeche,47.3848613,8.5473418
Unbekannt,Gruenflaeche,47.4086844,8.5068089
Pfingstweidpark,Gruenflaeche,47.3878188,8.5129224
Alfred-Altherr-Terrasse,Gruenflaeche,47.395091,8.5525326
Fritschiwiese,Gruenflaeche,47.3761404,8.5120801
Klingenpark,Gruenflaeche,47.3825704,8.5351408
Landiwiese,Gruenflaeche,47.3504188,8.5353147
Unbekannt,Gruenflaeche,47.373634,8.5410617
Unbekannt,Gruenflaeche,47.376362,8.5358531
Saffa-Insel,Gruenflaeche,47.3497311,8.5366096
Unbekannt,Gruenflaeche,47.3756337,8.5258774
Unbekannt,Gruenflaeche,47.3810246,8.4864306
Josefwiese,Gruenflaeche,47.3857455,8.5233768
Wipkingerpark,Gruenflaeche,47.3924823,8.5218918
Kasernenwiese,Gruenflaeche,47.3761995,8.5309375
Unbekannt,Gruenflaeche,47.3757938,8.5506404
Unbekannt,Gruenflaeche,47.3716929,8.5522395
Schütze-Areal,Gruenflaeche,47.3895071,8.5236208
Chinagarten Zürich,Gruenflaeche,47.354972,8.5519914
Kurt-Guggenheim-Anlage,Gruenflaeche,47.3669359,8.5400549
Unbekannt,Gruenflaeche,47.361132,8.516938
Unbekannt,Gruenflaeche,47.3591375,8.5166496
Unbekannt,Gruenflaeche,47.3492259,8.561298
Unbekannt,Gruenflaeche,47.3732706,8.5271618
Gustav-Ammann-Park,Gruenflaeche,47.411265,8.534494
Heiligfeld,Gruenflaeche,47.3796335,8.503786
Hardaupark,Gruenflaeche,47.379498,8.5095681
Gemeinschaftszentrum Loogarten,Gruenflaeche,47.3879572,8.4727653
Schindlergut,Gruenflaeche,47.3861084,8.5367367
Neumünsteranlage,Gruenflaeche,47.3607575,8.5592629
Bullingerhof,Gruenflaeche,47.3793204,8.5132225
Landenbergpark,Gruenflaeche,47.3922485,8.5274561
GZ Buchegg,Gruenflaeche,47.3996114,8.5353393
Freibad Dolder,Gruenflaeche,47.3759114,8.5752471
Stadelhoferplatz,Gruenflaeche,47.3660975,8.5476238
Leutschenpark,Gruenflaeche,47.417553,8.5561095
Unbekannt,Gruenflaeche,47.3834796,8.4943961
Seeburgpark,Gruenflaeche,47.3604163,8.5562698
J.-R.-von-Salis-Anlage,Gruenflaeche,47.3725284,8.5470479
Unbekannt,Gruenflaeche,47.4135519,8.5460244
Unbekannt,Gruenflaeche,47.3813559,8.5508274
Unbekannt,Gruenflaeche,47.425638,8.4991905
Emil-Oberhänsli-Anlage,Gruenflaeche,47.417635,8.5451713
Unbekannt,Gruenflaeche,47.401282,8.5399548
Irchelpark,Gruenflaeche,47.3980974,8.5445027
Unbekannt,Gruenflaeche,47.4060219,8.5381549
Unbekannt,Gruenflaeche,47.408539,8.5446997
Unbekannt,Gruenflaeche,47.4067658,8.5468395
Spielwiese Waldgarten,Gruenflaeche,47.4043091,8.5546982
Basteiplatz,Gruenflaeche,47.3698903,8.5361712
