Strassenname,Strassentyp,Breitengrad,Laengengrad
Greblerweg,residential,47.3779176,8.4829043
Diggelmannstrasse,residential,47.3779817,8.4815064
Untermoosstrasse,residential,47.3786369,8.482392
Robert-Seidel-Hof,residential,47.3909656,8.4823271
Segnesstrasse,residential,47.3885932,8.4857056
Herrligweg,residential,47.389933,8.4847653
Badenerstrasse,tertiary,47.3891299,8.4823846
Würzgrabenstrasse,secondary,47.3932339,8.4931292
Max-Högger-Strasse,residential,47.3928903,8.4885747
Südstrasse,tertiary,47.3542547,8.5629058
Lenggstrasse,tertiary,47.3515991,8.5674883
Lenggstrasse,tertiary,47.3536483,8.5733751
Blümlisalpstrasse,residential,47.3890399,8.5481232
Langmauerstrasse,residential,47.3904757,8.5422989
Röslistrasse,residential,47.3878538,8.5401388
Kraftstrasse,tertiary,47.3765717,8.5599865
Neuhausstrasse,residential,47.3773879,8.5634241
Berninastrasse,residential,47.40253,8.5529461
Viktoriastrasse,residential,47.4060215,8.5511802
Friedheimstrasse,residential,47.4047779,8.5489164
Wallisellenstrasse,residential,47.4102293,8.546707
Nansenstrasse,residential,47.4111861,8.5463157
Berninaplatz,primary,47.4032503,8.5475068
Wallisellenstrasse,tertiary,47.4108523,8.5610278
Saatlenzelg,residential,47.4121532,8.5610545
Unterfeldstrasse,residential,47.4116404,8.5612284
Riedgrabenweg,residential,47.4117054,8.5587346
Riedgrabenweg,residential,47.4095062,8.5588144
Saatlenstrasse,residential,47.4115955,8.5632356
Saatlenstrasse,residential,47.4106094,8.5634058
Oerlikonerstrasse,residential,47.4037105,8.54565
Schaffhauserstrasse,primary,47.4005324,8.5438439
Schaffhauserstrasse,tertiary,47.3990221,8.542391
Witellikerstrasse,secondary,47.3534535,8.5760612
Enzenbühlstrasse,residential,47.3509676,8.5798653
Im Walder,residential,47.3486381,8.5737336
Niederhofenrain,residential,47.3487782,8.5751243
Enzenbühlstrasse,residential,47.3498027,8.5752593
Flühgasse,residential,47.3505591,8.5683979
Mühlebachstrasse,residential,47.3591748,8.556602
Wetlistrasse,residential,47.3595909,8.5686189
Fröbelstrasse,residential,47.3614805,8.5666286
Hammerstrasse,secondary,47.360013,8.5594676
Breitingerstrasse,residential,47.362563,8.5350788
Neumühlequai,tertiary,47.3786747,8.5425431
Ottostrasse,residential,47.386265,8.525141
Triemlistrasse,residential,47.3743307,8.4832863
Ohmstrasse,residential,47.4107772,8.5458877
Engadinerweg,residential,47.4075435,8.4939342
Benedikt-Fontana-Weg,residential,47.406954,8.4958477
Ferdinand-Hodler-Strasse,residential,47.4040164,8.5000185
Stampfenbrunnenstrasse,residential,47.3846846,8.4769303
Hätzlergasse,residential,47.3891929,8.4697144
Badenerstrasse,tertiary,47.3907476,8.4793989
Badenerstrasse,tertiary,47.3903042,8.4798576
Im Struppen,residential,47.3886477,8.4821328
Calandastrasse,residential,47.3881309,8.4893072
Saumackerstrasse,residential,47.3835615,8.4867072
Flüelastrasse,residential,47.3808298,8.4941094
Dachslernstrasse,residential,47.3890887,8.4793687
Seebacherstrasse,tertiary,47.4147545,8.520596
Seebacherstrasse,tertiary,47.4171351,8.5230393
Seebacherstrasse,tertiary,47.4184386,8.5281203
Seebacherstrasse,tertiary,47.421543,8.5383428
Birchstrasse,residential,47.4130342,8.5377927
Birchstrasse,residential,47.4181004,8.5383702
Birchstrasse,residential,47.4191093,8.5384672
Brown-Boveri-Strasse,residential,47.4137431,8.5363619
Armin-Bollinger-Weg,residential,47.4143444,8.5387491
Neunbrunnenstrasse,residential,47.4155229,8.5293092
Kalchbühlstrasse,residential,47.3401593,8.5313727
Pfingstweidstrasse,primary_link,47.393024,8.5024132
Saumackerstrasse,residential,47.3896468,8.4892377
Bändlistrasse,secondary,47.3943493,8.4925835
Meierwiesenstrasse,secondary,47.3942998,8.4901748
Bändlistrasse,tertiary,47.3983937,8.474879
Bernerstrasse Nord,primary,47.3974388,8.4808017
Bernerstrasse Süd,primary_link,47.3935049,8.5005581
Ohne Namen,primary,47.3935101,8.4931033
Bernerstrasse Nord,primary,47.3937995,8.4981496
Neugasse,residential,47.384105,8.5262025
Ottostrasse,residential,47.3854419,8.5245538
Radgasse,residential,47.3802074,8.537089
Röntgenstrasse,residential,47.3871955,8.5270149
Fabrikstrasse,tertiary,47.3873452,8.5289767
Fabrikstrasse,residential,47.3846486,8.5260193
Quellenstrasse,residential,47.3838273,8.5271216
Dennlerstrasse,residential,47.379847,8.4959059
Haumesserstrasse,residential,47.349329,8.5321095
Staubstrasse,residential,47.3467248,8.5298043
Besenrainstrasse,residential,47.3454373,8.5273893
Im Hummel,residential,47.3430467,8.5226126
Hegenmatt,residential,47.3424272,8.5231287
Paradiesstrasse,residential,47.3351208,8.5275242
Marchwartstrasse,residential,47.3379024,8.5262056
Speerstrasse,residential,47.3424895,8.5262476
Wernerstrasse,residential,47.3425323,8.5274227
Wachtelstrasse,residential,47.3429701,8.5268478
Verenastrasse,residential,47.3400415,8.5256334
Balberstrasse,residential,47.3375471,8.5269097
Weitlingweg,residential,47.3363483,8.5255215
Drosselstrasse,residential,47.3415768,8.5255443
Moosstrasse,residential,47.337776,8.5288574
Dangelstrasse,residential,47.3332439,8.5286561
Zwängiweg,secondary,47.3298216,8.530302
Oberscheunenweg,residential,47.3365026,8.5353819
Hoffnungsstrasse,residential,47.3411436,8.5353912
Renggerstrasse,residential,47.3437231,8.5337543
Kilchbergsteig,residential,47.3437554,8.5328278
Studackerstrasse,residential,47.3385062,8.5316673
Erligatterweg,residential,47.3312163,8.5332537
Hardgutstrasse,residential,47.385306,8.5040337
Bachstrasse,residential,47.3451641,8.5346687
Käferholzstrasse,residential,47.4043518,8.5294534
Chaletweg,residential,47.4125162,8.5321189
David-Hess-Weg,residential,47.3343953,8.5317418
Angelikaweg,residential,47.4108592,8.5351738
Frankentalerstrasse,secondary_link,47.4143494,8.4834018
Morgentalstrasse,residential,47.3440773,8.5258196
Ziegelstrasse,residential,47.3407003,8.5291847
Beethovenstrasse,residential,47.3683716,8.5351521
Schaffhauserstrasse,primary,47.4269415,8.555475
Glatttalstrasse,tertiary,47.4325691,8.5431556
Reginastrasse,residential,47.3390778,8.529354
Moränenstrasse,residential,47.3403064,8.5294576
Feldeggstrasse,residential,47.3596265,8.5487293
Höschgasse,residential,47.3563492,8.5505615
Heinrich-Federer-Strasse,residential,47.3360264,8.531591
Birmensdorferstrasse,tertiary,47.3720103,8.5263658
Zentralstrasse,residential,47.3719916,8.5192251
Haldenstrasse,residential,47.362948,8.5184731
Uetlibergstrasse,secondary,47.3605166,8.5171143
Wuhrstrasse,residential,47.366693,8.521805
Sandstrasse,residential,47.3664474,8.5214175
Dubsstrasse,residential,47.3672988,8.521593
Steinstrasse,tertiary,47.3655169,8.5215735
Austrasse,residential,47.3655845,8.5199683
Malzstrasse,residential,47.3657459,8.520679
Hopfenstrasse,residential,47.3652206,8.5202278
